time,ids,centers,rotation
11-06 17:10:21.69,(32),"(-60.1875,  32.1   )",(3.114572622012248)
11-06 17:10:21.81,(32),"(-60.1875,  33.4375)",(3.114572622012248)
11-06 17:10:21.92,(32),"(-60.1875,  34.775 )",(3.0875907071820388)
11-06 17:10:22.04,(32),"(-60.1875,  36.1125)",(3.0875907071820388)
11-06 17:10:22.15,(32),"(-60.1875 ,  36.78125)",(3.0875907071820388)
11-06 17:10:22.26,(32),"(-60.1875,  37.45  )",(3.0875907071820388)
11-06 17:10:22.38,(32),"(-60.1875,  38.7875)",(3.086095208747534)
11-06 17:10:22.48,(32),"(-59.51875,  39.45625)",(3.089008430534165)
11-06 17:10:22.59,(32),"(-60.1875 ,  40.79375)",(3.0606888983527116)
11-06 17:10:22.70,(32),"(-60.1875 ,  42.13125)",(3.0606888983527116)
11-06 17:10:22.82,(32),"(-60.1875 ,  43.46875)",(3.0628090182888776)
11-06 17:10:22.94,(32),"(-60.1875,  45.475 )",(3.0875907071820388)
11-06 17:10:23.05,(32),"(-60.1875 ,  46.14375)",(3.0875907071820388)
11-06 17:10:23.17,(32),"(-60.1875 ,  47.48125)",(3.0875907071820388)
11-06 17:10:23.28,(32),"(-60.1875 ,  47.48125)",(3.089008430534165)
11-06 17:10:23.40,(32),"(-60.1875 ,  48.81875)",(3.0628090182888776)
11-06 17:10:23.52,(32),"(-60.1875 ,  50.15625)",(3.0875907071820388)
11-06 17:10:23.63,(32),"(-60.1875 ,  51.49375)",(3.0875907071820388)
11-06 17:10:23.74,(32),"(-60.1875,  52.1625)",(3.0606888983527116)
11-06 17:10:23.85,(32),"(-60.1875,  53.5   )",(3.0628090182888776)
11-06 17:10:23.97,(32),"(-60.1875,  54.8375)",(3.0628090182888776)
11-06 17:10:24.08,(32),"(-60.1875,  56.175 )",(3.0875907071820388)
11-06 17:10:24.19,(32),"(-60.1875,  57.5125)",(3.0875907071820388)
11-06 17:10:24.29,(32),"(-60.1875,  57.5125)",(3.0606888983527116)
11-06 17:10:24.41,(32),"(-60.1875 ,  58.18125)",(3.033903123401792)
11-06 17:10:24.52,(32),"(-59.51875,  58.85   )",(3.089008430534165)
11-06 17:10:24.63,(32),"(-59.51875,  59.51875)",(3.0606888983527116)
11-06 17:10:24.75,(32),"(-58.85   ,  60.85625)",(3.089008430534165)
11-06 17:10:24.86,(32),"(-58.85 ,  61.525)",(3.0875907071820388)
11-06 17:10:24.96,(32),"(-58.85  ,  62.8625)",(3.0606888983527116)
