time,ids,centers,rotation
11-06 15:28:13.73,(32),"(-127.73125,  -29.425  )",(3.3285720027818573)
11-06 15:28:13.84,(32),"(-127.73125,  -30.09375)",(3.3336404901437455)
11-06 15:28:13.95,(32),"(-127.0625 ,  -31.43125)",(3.3285720027818573)
11-06 15:28:14.06,(32),"(-127.0625,  -32.1   )",(3.3336404901437455)
11-06 15:28:14.18,(32),"(-126.39375,  -33.4375 )",(3.3285720027818573)
11-06 15:28:14.29,(32),"(-126.39375,  -34.10625)",(3.3285720027818573)
11-06 15:28:14.39,(32),"(-126.39375,  -34.775  )",(3.3285720027818573)
11-06 15:28:14.50,(32),"(-125.725 ,  -36.1125)",(3.3285720027818573)
11-06 15:28:14.61,(32),"(-125.725  ,  -36.78125)",(3.3336404901437455)
11-06 15:28:14.73,(32),"(-125.05625,  -37.45   )",(3.3336404901437455)
11-06 15:28:14.83,(32),"(-125.05625,  -38.7875 )",(3.3336404901437455)
11-06 15:28:14.94,(32),"(-124.3875 ,  -39.45625)",(3.3285720027818573)
11-06 15:28:15.05,(32),"(-124.3875 ,  -39.45625)",(3.3336404901437455)
11-06 15:28:15.15,(32),"(-123.71875,  -40.79375)",(3.3545311653555845)
11-06 15:28:15.27,(32),"(-123.71875,  -41.4625 )",(3.3285720027818573)
11-06 15:28:15.38,(32),"(-123.71875,  -42.8    )",(3.3285720027818573)
11-06 15:28:15.48,(32),"(-123.71875,  -43.46875)",(3.3336404901437455)
11-06 15:28:15.59,(32),"(-123.05   ,  -44.80625)",(3.3285720027818573)
11-06 15:28:15.71,(32),"(-122.38125,  -46.14375)",(3.3545311653555845)
11-06 15:28:15.81,(32),"(-123.05  ,  -46.8125)",(3.3336404901437455)
11-06 15:28:15.92,(32),"(-122.38125,  -48.15   )",(3.3285720027818573)
11-06 15:28:16.04,(32),"(-122.38125,  -48.81875)",(3.3336404901437455)
11-06 15:28:16.15,(32),"(-121.7125 ,  -50.15625)",(3.3285720027818573)
11-06 15:28:16.27,(32),"(-121.7125 ,  -51.49375)",(3.3285720027818573)
11-06 15:28:16.38,(32),"(-121.04375,  -52.83125)",(3.3285720027818573)
11-06 15:28:16.48,(32),"(-120.375,  -53.5  )",(3.3285720027818573)
11-06 15:28:16.59,(32),"(-120.375 ,  -54.8375)",(3.3285720027818573)
11-06 15:28:16.70,(32),"(-119.70625,  -55.50625)",(3.3336404901437455)
11-06 15:28:16.82,(32),"(-119.0375 ,  -56.84375)",(3.3602616448303104)
11-06 15:28:16.93,(32),"(-119.0375 ,  -58.18125)",(3.3285720027818573)
11-06 15:28:17.03,(32),"(-119.0375,  -58.85  )",(3.3285720027818573)
11-06 15:28:17.14,(32),"(-118.36875,  -60.1875 )",(3.3285720027818573)
11-06 15:28:17.25,(32),"(-118.36875,  -60.85625)",(3.3336404901437455)
11-06 15:28:17.37,(32),"(-117.7    ,  -60.85625)",(3.3336404901437455)
11-06 15:28:17.46,(32),"(-117.7    ,  -62.19375)",(3.3285720027818573)
11-06 15:28:17.58,(32),"(-117.7   ,  -62.8625)",(3.3023553253114106)
11-06 15:28:17.69,(32),"(-117.03125,  -64.2    )",(3.3285720027818573)
11-06 15:28:17.79,(32),"(-117.03125,  -64.86875)",(3.3067413024416608)
11-06 15:28:17.90,(32),"(-117.03125,  -66.20625)",(3.3336404901437455)
11-06 15:28:18.02,(32),"(-116.3625 ,  -67.54375)",(3.3285720027818573)
11-06 15:28:18.12,(32),"(-116.3625,  -68.2125)",(3.3285720027818573)
11-06 15:28:18.23,(32),"(-115.69375,  -69.55   )",(3.3336404901437455)
11-06 15:28:18.34,(32),"(-115.69375,  -70.8875 )",(3.3336404901437455)
11-06 15:28:18.45,(32),"(-115.025  ,  -71.55625)",(3.3336404901437455)
11-06 15:28:18.56,(32),"(-115.025  ,  -72.89375)",(3.3336404901437455)
11-06 15:28:18.68,(32),"(-115.025,  -74.9  )",(3.3545311653555845)
11-06 15:28:18.78,(32),"(-114.35625,  -75.56875)",(3.3545311653555845)
11-06 15:28:18.89,(32),"(-114.35625,  -76.90625)",(3.3285720027818573)
11-06 15:28:19.00,(32),"(-114.35625,  -77.575  )",(3.3285720027818573)
11-06 15:28:19.11,(32),"(-114.35625,  -78.24375)",(3.3336404901437455)
11-06 15:28:19.23,(32),"(-114.35625,  -79.58125)",(3.3336404901437455)
11-06 15:28:19.33,(32),"(-114.35625,  -80.25   )",(3.3336404901437455)
11-06 15:28:19.44,(32),"(-114.35625,  -80.91875)",(3.3336404901437455)
11-06 15:28:19.55,(32),"(-114.35625,  -81.5875 )",(3.3545311653555845)
11-06 15:28:19.65,(32),"(-113.6875 ,  -82.25625)",(3.3602616448303104)
11-06 15:28:19.76,(32),"(-113.6875 ,  -83.59375)",(3.3285720027818573)
11-06 15:28:19.87,(32),"(-113.6875,  -84.2625)",(3.3336404901437455)
11-06 15:28:19.99,(32),"(-113.01875,  -85.6    )",(3.3602616448303104)
11-06 15:28:20.10,(32),"(-113.01875,  -86.9375 )",(3.3545311653555845)
11-06 15:28:20.20,(32),"(-112.35   ,  -87.60625)",(3.3602616448303104)
11-06 15:28:20.31,(32),"(-112.35   ,  -88.94375)",(3.3285720027818573)
11-06 15:28:20.42,(32),"(-111.68125,  -90.28125)",(3.3545311653555845)
11-06 15:28:20.54,(32),"(-112.35,  -90.95)",(3.3336404901437455)
11-06 15:28:20.65,(32),"(-112.35  ,  -92.2875)",(3.3336404901437455)
11-06 15:28:20.76,(32),"(-111.68125,  -93.625  )",(3.3285720027818573)
11-06 15:28:20.88,(32),"(-111.68125,  -94.9625 )",(3.3336404901437455)
11-06 15:28:20.99,(32),"(-111.68125,  -95.63125)",(3.3023553253114106)
11-06 15:28:21.10,(32),"(-111.0125 ,  -96.96875)",(3.3285720027818573)
11-06 15:28:21.21,(32),"(-111.0125 ,  -98.30625)",(3.3285720027818573)
11-06 15:28:21.32,(32),"(-111.0125 ,  -99.64375)",(3.3285720027818573)
11-06 15:28:21.44,(32),"(-111.0125 , -100.98125)",(3.3285720027818573)
11-06 15:28:21.55,(32),"(-111.0125, -101.65  )",(3.3023553253114106)
11-06 15:28:21.67,(32),"(-111.0125, -101.65  )",(3.3023553253114106)
11-06 15:28:21.77,(32),"(-110.34375, -102.9875 )",(3.3285720027818573)
11-06 15:28:21.87,(32),"(-110.34375, -103.65625)",(3.3023553253114106)
11-06 15:28:21.98,(32),"(-109.675  , -104.99375)",(3.3285720027818573)
11-06 15:28:22.09,(32),"(-109.675 , -105.6625)",(3.3285720027818573)
