time,ids,centers,rotation
11-06 15:50:07.74,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:07.85,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:07.95,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:08.06,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:08.18,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:08.29,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:08.40,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:08.52,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:08.63,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:08.74,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:08.84,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:08.95,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:09.07,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:09.17,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:09.28,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:09.39,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:09.51,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:09.60,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:09.72,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:09.83,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:09.93,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:10.05,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:10.16,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:10.28,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:10.39,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:10.51,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
