time,ids,centers,rotation
11-06 15:43:41.22,(32),"(-58.18125,  15.38125)",(3.114572622012248)
11-06 15:43:41.33,(32),"(-58.18125,  16.71875)",(3.141592653589793)
11-06 15:43:41.43,(32),"(-58.18125,  18.05625)",(3.0875907071820388)
11-06 15:43:41.54,(32),"(-58.18125,  18.725  )",(3.141592653589793)
11-06 15:43:41.65,(32),"(-57.5125,  18.725 )",(3.115281281864082)
11-06 15:43:41.77,(32),"(-56.84375,  19.39375)",(3.141592653589793)
11-06 15:43:41.87,(32),"(-56.84375,  20.0625 )",(3.141592653589793)
11-06 15:43:41.99,(32),"(-54.8375,  20.0625)",(3.141592653589793)
11-06 15:43:42.11,(32),"(-54.16875,  20.73125)",(3.114572622012248)
11-06 15:43:42.22,(32),"(-53.5,  21.4)",(3.141592653589793)
11-06 15:43:42.33,(32),"(-52.1625,  21.4   )",(3.115281281864082)
11-06 15:43:42.43,(32),"(-51.49375,  22.06875)",(3.141592653589793)
11-06 15:43:42.55,(32),"(-50.825 ,  22.7375)",(3.115281281864082)
11-06 15:43:42.66,(32),"(-50.15625,  24.075  )",(3.114572622012248)
11-06 15:43:42.77,(32),"(-48.81875,  24.74375)",(3.141592653589793)
11-06 15:43:42.87,(32),"(-48.15   ,  24.74375)",(3.115281281864082)
11-06 15:43:42.98,(32),"(-46.8125,  25.4125)",(3.141592653589793)
11-06 15:43:43.10,(32),"(-46.14375,  26.08125)",(3.114572622012248)
11-06 15:43:43.21,(32),"(-44.80625,  26.75   )",(3.114572622012248)
11-06 15:43:43.32,(32),"(-44.1375 ,  27.41875)",(3.114572622012248)
11-06 15:43:43.43,(32),"(-43.46875,  28.0875 )",(3.114572622012248)
11-06 15:43:43.54,(32),"(-42.13125,  28.75625)",(3.115281281864082)
11-06 15:43:43.66,(32),"(-41.4625,  29.425 )",(3.114572622012248)
11-06 15:43:43.77,(32),"(-41.4625,  29.425 )",(3.114572622012248)
11-06 15:43:43.88,(32),"(-41.4625,  29.425 )",(3.115281281864082)
11-06 15:43:43.99,(32),"(-40.79375,  30.09375)",(3.114572622012248)
11-06 15:43:44.09,(32),"(-39.45625,  30.7625 )",(3.141592653589793)
11-06 15:43:44.21,(32),"(-38.11875,  30.7625 )",(3.141592653589793)
11-06 15:43:44.31,(32),"(-37.45   ,  31.43125)",(3.141592653589793)
11-06 15:43:44.42,(32),"(-36.1125 ,  31.43125)",(3.1686126851673384)
11-06 15:43:44.53,(32),"(-35.44375,  32.1    )",(3.141592653589793)
11-06 15:43:44.65,(32),"(-34.10625,  32.1    )",(3.141592653589793)
11-06 15:43:44.76,(32),"(-33.4375,  32.1   )",(3.1686126851673384)
11-06 15:43:44.87,(32),"(-32.1,  32.1)",(3.1679040253155044)
11-06 15:43:44.99,(32),"(-30.7625,  32.1   )",(3.1679040253155044)
11-06 15:43:45.10,(32),"(-29.425,  32.1  )",(3.1679040253155044)
11-06 15:43:45.21,(32),"(-28.75625,  32.76875)",(3.1686126851673384)
11-06 15:43:45.33,(32),"(-27.41875,  33.4375 )",(3.141592653589793)
11-06 15:43:45.44,(32),"(-26.75  ,  33.4375)",(3.1686126851673384)
11-06 15:43:45.55,(32),"(-25.4125,  33.4375)",(3.1679040253155044)
11-06 15:43:45.66,(32),"(-24.74375,  34.10625)",(3.141592653589793)
11-06 15:43:45.78,(32),"(-23.40625,  34.10625)",(3.1679040253155044)
11-06 15:43:45.89,(32),"(-22.06875,  34.775  )",(3.141592653589793)
11-06 15:43:46.00,(32),"(-22.06875,  34.775  )",(3.141592653589793)
11-06 15:43:46.10,(32),"(-21.4  ,  34.775)",(3.1686126851673384)
11-06 15:43:46.22,(32),"(-19.39375,  34.775  )",(3.1941768766454213)
11-06 15:43:46.33,(32),"(-18.725  ,  35.44375)",(3.1679040253155044)
11-06 15:43:46.45,(32),"(-17.3875 ,  35.44375)",(3.1955945999975475)
11-06 15:43:46.56,(32),"(-16.71875,  36.1125 )",(3.1686126851673384)
11-06 15:43:46.68,(32),"(-15.38125,  36.1125 )",(3.1686126851673384)
11-06 15:43:46.79,(32),"(-14.04375,  36.1125 )",(3.1686126851673384)
11-06 15:43:46.90,(32),"(-12.70625,  36.1125 )",(3.1679040253155044)
11-06 15:43:47.01,(32),"(-12.0375 ,  36.78125)",(3.1686126851673384)
11-06 15:43:47.13,(32),"(-10.7    ,  36.78125)",(3.1679040253155044)
11-06 15:43:47.24,(32),"(-9.3625 , 36.78125)",(3.1941768766454213)
11-06 15:43:47.35,(32),"(-8.69375, 37.45   )",(3.1686126851673384)
11-06 15:43:47.47,(32),"(-7.35625, 37.45   )",(3.1686126851673384)
11-06 15:43:47.58,(32),"(-6.01875, 37.45   )",(3.1679040253155044)
11-06 15:43:47.69,(32),"(-5.35   , 38.11875)",(3.1686126851673384)
11-06 15:43:47.80,(32),"(-4.0125, 38.7875)",(3.141592653589793)
11-06 15:43:47.91,(32),"(-2.675 , 38.7875)",(3.1679040253155044)
11-06 15:43:48.01,(32),"(-2.00625, 39.45625)",(3.1686126851673384)
11-06 15:43:48.12,(32),"(-1.3375 , 39.45625)",(3.1686126851673384)
11-06 15:43:48.23,(32),"(-0.66875, 39.45625)",(3.1679040253155044)
11-06 15:43:48.34,(32),"( 0.66875, 39.45625)",(3.1679040253155044)
11-06 15:43:48.46,(32),"( 2.00625, 39.45625)",(3.141592653589793)
11-06 15:43:48.57,(32),"( 2.675  , 39.45625)",(3.1679040253155044)
11-06 15:43:48.67,(32),"( 4.0125 , 39.45625)",(3.1686126851673384)
11-06 15:43:48.79,(32),"( 4.68125, 39.45625)",(3.1686126851673384)
11-06 15:43:48.89,(32),"( 6.01875, 39.45625)",(3.1686126851673384)
11-06 15:43:48.99,(32),"( 7.35625, 38.7875 )",(3.1679040253155044)
11-06 15:43:49.12,(32),"( 8.69375, 38.7875 )",(3.1955945999975475)
11-06 15:43:49.23,(32),"(10.03125, 38.7875 )",(3.1686126851673384)
11-06 15:43:49.35,(32),"(10.7    , 38.11875)",(3.1679040253155044)
11-06 15:43:49.45,(32),"(12.0375 , 38.11875)",(3.1679040253155044)
11-06 15:43:49.56,(32),"(13.375  , 38.11875)",(3.1955945999975475)
11-06 15:43:49.67,(32),"(14.04375, 38.11875)",(3.1686126851673384)
11-06 15:43:49.78,(32),"(14.7125 , 38.11875)",(3.1693634018177654)
11-06 15:43:49.89,(32),"(16.05   , 38.11875)",(3.1686126851673384)
11-06 15:43:50.01,(32),"(17.3875 , 38.11875)",(3.1686126851673384)
11-06 15:43:50.12,(32),"(18.05625, 38.11875)",(3.1686126851673384)
11-06 15:43:50.24,(32),"(19.39375, 38.11875)",(3.1686126851673384)
11-06 15:43:50.34,(32),"(19.39375, 38.11875)",(3.1686126851673384)
11-06 15:43:50.45,(32),"(20.0625 , 38.11875)",(3.1686126851673384)
11-06 15:43:50.57,(32),"(21.4 , 37.45)",(3.1955945999975475)
11-06 15:43:50.68,(32),"(22.06875, 37.45   )",(3.1686126851673384)
11-06 15:43:50.79,(32),"(23.40625, 36.1125 )",(3.1955945999975475)
11-06 15:43:50.90,(32),"(24.075 , 36.1125)",(3.1686126851673384)
11-06 15:43:51.02,(32),"(24.74375, 35.44375)",(3.1686126851673384)
11-06 15:43:51.12,(32),"(26.08125, 34.775  )",(3.1679040253155044)
11-06 15:43:51.23,(32),"(26.75   , 34.10625)",(3.1679040253155044)
11-06 15:43:51.34,(32),"(27.41875, 34.10625)",(3.1693634018177654)
11-06 15:43:51.45,(32),"(28.75625, 33.4375 )",(3.1686126851673384)
11-06 15:43:51.57,(32),"(30.09375, 32.76875)",(3.1679040253155044)
11-06 15:43:51.68,(32),"(31.43125, 32.76875)",(3.1941768766454213)
