start next to table end on table (leave puddle)
height of setup:,57.77
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
398,1743,3165,4351,4471
399,1752,3193,4346,4428
400,1745,3170,4295,4359
401,1744,3152,4284,4359
402,1745,3147,4299,4374
403,1758,3155,4311,4377
404,1751,3098,4224,4287
406,1755,3087,4170,4293
407,1750,3036,4087,4249
408,1753,3004,4053,4229
409,1747,2974,4019,4204
410,1740,2954,4016,4195
411,1734,2952,4043,4220
412,1715,2958,4077,4279
413,1711,2974,4100,4353
414,1716,2978,4097,4397
415,1720,2971,4090,4419
416,1728,2959,4089,4401
417,1731,2940,4070,4355
418,1734,2929,4041,4281
419,1735,2914,4001,4191
420,1742,2913,3991,4218
421,1749,2927,4078,4406
422,1758,2989,4260,4611
423,1762,3073,4407,4745
424,1780,3153,4476,4823
425,1792,3201,4509,4839
426,1801,3220,4500,4816
427,1803,3213,4471,4761
428,1800,3192,4424,4669
429,1790,3155,4374,4550
431,1764,3116,4270,4430
432,1754,3085,4239,4368
433,1758,3090,4237,4331
434,1767,3087,4201,4309
435,1740,3027,4126,4233
436,1737,3032,4162,4261
437,1736,3043,4182,4268
438,1725,3044,4172,4237
439,1712,3034,4137,4183
440,1684,2990,4050,4079
441,1698,3005,4066,4070
442,1688,2972,4012,4015
443,1675,2930,3952,3960
444,1661,2884,3888,3888
445,1646,2837,3814,3803
446,1633,2790,3739,3721
447,1607,2725,3655,3627
448,1574,2690,3588,3534
449,1588,2687,3611,3540
450,1591,2660,3579,3491
451,1602,2668,3598,3549
452,1617,2670,3612,3651
453,1613,2654,3597,3734
454,1621,2656,3604,3829
456,1639,2664,3629,3912
457,1638,2646,3617,3895
458,1646,2651,3647,3897
459,1654,2663,3657,3858
460,1639,2625,3590,3736
461,1639,2624,3621,3676
462,1654,2618,3611,3624
463,1646,2615,3610,3592
464,1644,2599,3605,3549
465,1646,2587,3606,3518
466,1640,2563,3583,3468
467,1628,2536,3554,3418
468,1617,2519,3531,3381
469,1607,2507,3511,3363
470,1581,2490,3471,3358
471,1562,2482,3467,3398
472,1549,2480,3487,3468
473,1528,2474,3505,3536
474,1522,2484,3523,3566
475,1530,2493,3537,3575
476,1519,2478,3522,3556
477,1543,2503,3554,3537
478,1546,2497,3535,3463
479,1550,2496,3522,3434
481,1552,2499,3510,3391
482,1551,2501,3496,3382
483,1545,2503,3478,3433
484,1544,2521,3544,3599
485,1519,2513,3566,3696
486,1500,2524,3603,3764
487,1483,2538,3630,3804
488,1463,2544,3653,3892
489,1436,2541,3712,4045
490,1443,2572,3835,4244
491,1435,2581,3920,4328
492,1428,2581,3956,4362
493,1421,2571,3959,4383
494,1413,2548,3938,4373
495,1398,2509,3880,4328
496,1418,2531,3914,4285
497,1432,2543,3894,4208
498,1444,2551,3860,4114
499,1467,2575,3838,4027
500,1479,2573,3757,3912
501,1474,2583,3726,3784
502,1486,2591,3690,3709
503,1470,2597,3626,3610
505,1497,2612,3623,3625
506,1500,2623,3640,3788
507,1495,2645,3746,4097
508,1509,2720,3955,4408
509,1522,2812,4105,4608
510,1535,2888,4185,4687
511,1543,2928,4184,4647
512,1549,2931,4135,4563
513,1554,2947,4151,4497
514,1573,2954,4103,4361
515,1561,2907,4009,4181
516,1561,2875,3942,4039
